Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, miv_ihc_core_Z81,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   245 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, COREAXI4INTERCONNECT_Z64,0h:00m:02s,0h:00m:02s,-,0h:00m:00s,   261 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, caxi4interconnect_SlvProtocolConverter_Z46,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   276 MB,     3 MB,     3 MB,     0 MB,     0 MB
work, caxi4interconnect_SlvDataWidthConverter_Z44,0h:00m:02s,0h:00m:02s,-,0h:00m:00s,   325 MB,     4 MB,     4 MB,     0 MB,     0 MB
work, COREAXI4INTERCONNECT_Z40,0h:00m:05s,0h:00m:05s,-,0h:00m:00s,   325 MB,    11 MB,     9 MB,     0 MB,     3 MB
work, caxi4interconnect_Axi4CrossBar_Z24,0h:00m:03s,0h:00m:03s,-,0h:00m:00s,   325 MB,     4 MB,     4 MB,     0 MB,     0 MB
work, caxi4interconnect_MstrDataWidthConv_Z15,0h:00m:03s,0h:00m:03s,-,0h:00m:00s,   325 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, COREAXI4INTERCONNECT_Z14,0h:00m:06s,0h:00m:06s,-,0h:00m:00s,   325 MB,     5 MB,     4 MB,     0 MB,     0 MB
